contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration_date
XOM241122P00085000,2024-11-08 20:39:04+00:00,85.0,0.02,0.0,0.08,0.0,0.0,17.0,19,1.109379453125,False,REGULAR,USD,2024-11-22
XOM241122P00090000,2024-11-11 20:48:38+00:00,90.0,0.02,0.0,0.57,0.0,0.0,4.0,29,1.2695349023437497,False,REGULAR,USD,2024-11-22
XOM241122P00095000,2024-11-14 16:11:42+00:00,95.0,0.02,0.0,0.67,0.0,0.0,5.0,79,1.0996138769531252,False,REGULAR,USD,2024-11-22
XOM241122P00100000,2024-11-15 20:00:23+00:00,100.0,0.01,0.0,0.03,-0.01,-50.0,7.0,52,0.5468795312500001,False,REGULAR,USD,2024-11-22
XOM241122P00105000,2024-11-15 20:55:19+00:00,105.0,0.01,0.0,0.03,-0.03,-75.0,5.0,139,0.4492242578124999,False,REGULAR,USD,2024-11-22
XOM241122P00106000,2024-11-14 17:22:17+00:00,106.0,0.04,0.0,0.01,0.0,0.0,1.0,2,0.367193828125,False,REGULAR,USD,2024-11-22
XOM241122P00107000,2024-11-14 20:00:41+00:00,107.0,0.01,0.0,0.02,0.0,0.0,5.0,34,0.3711000390625,False,REGULAR,USD,2024-11-22
XOM241122P00108000,2024-11-15 19:43:04+00:00,108.0,0.02,0.01,0.09,0.0,0.0,4.0,109,0.43164630859375,False,REGULAR,USD,2024-11-22
XOM241122P00109000,2024-11-15 20:06:51+00:00,109.0,0.02,0.01,0.03,-0.01,-33.333336,14.0,110,0.3320379296875,False,REGULAR,USD,2024-11-22
XOM241122P00110000,2024-11-15 20:55:19+00:00,110.0,0.04,0.01,0.03,0.01,33.333336,263.0,213,0.304694453125,False,REGULAR,USD,2024-11-22
XOM241122P00111000,2024-11-14 17:39:21+00:00,111.0,0.05,0.02,0.09,0.0,0.0,7.0,141,0.3320379296875,False,REGULAR,USD,2024-11-22
XOM241122P00112000,2024-11-15 18:54:29+00:00,112.0,0.04,0.02,0.1,-0.010000002,-20.000004,8.0,329,0.304694453125,False,REGULAR,USD,2024-11-22
XOM241122P00113000,2024-11-15 20:45:39+00:00,113.0,0.08,0.06,0.12,0.009999998,14.285712,21.0,417,0.2812571874999999,False,REGULAR,USD,2024-11-22
XOM241122P00114000,2024-11-15 20:59:01+00:00,114.0,0.12,0.11,0.29,0.029999994,33.333324,108.0,214,0.309577216796875,False,REGULAR,USD,2024-11-22
XOM241122P00115000,2024-11-15 20:59:20+00:00,115.0,0.21,0.18,0.21,0.08,61.538464,385.0,465,0.242195078125,False,REGULAR,USD,2024-11-22
XOM241122P00116000,2024-11-15 20:48:50+00:00,116.0,0.3,0.3,0.34,0.120000005,66.66667,178.0,5004,0.2363357617187499,False,REGULAR,USD,2024-11-22
XOM241122P00117000,2024-11-15 20:59:34+00:00,117.0,0.51,0.46,0.5,0.20999998,69.99999,446.0,1646,0.2236405761718749,False,REGULAR,USD,2024-11-22
XOM241122P00118000,2024-11-15 20:59:45+00:00,118.0,0.79,0.73,0.75,0.34000003,75.555565,675.0,487,0.2143633251953124,False,REGULAR,USD,2024-11-22
XOM241122P00119000,2024-11-15 20:59:14+00:00,119.0,1.15,1.08,1.13,0.45999998,66.666664,2320.0,356,0.2099688378906249,False,REGULAR,USD,2024-11-22
XOM241122P00120000,2024-11-15 20:59:35+00:00,120.0,1.66,1.58,1.63,0.65,64.35644,556.0,709,0.2050860742187499,True,REGULAR,USD,2024-11-22
XOM241122P00121000,2024-11-15 20:53:43+00:00,121.0,2.15,2.2,2.3,0.6600001,44.295307,396.0,288,0.2085040087890624,True,REGULAR,USD,2024-11-22
XOM241122P00122000,2024-11-15 19:31:11+00:00,122.0,2.86,2.83,3.15,0.65999985,29.999992,132.0,132,0.229499892578125,True,REGULAR,USD,2024-11-22
XOM241122P00123000,2024-11-15 19:46:15+00:00,123.0,3.67,3.05,3.95,0.74,25.255972,48.0,80,0.2246171289062499,True,REGULAR,USD,2024-11-22
XOM241122P00124000,2024-11-15 17:18:16+00:00,124.0,4.15,4.55,5.25,0.5500002,15.277783,14.0,51,0.3427800097656249,True,REGULAR,USD,2024-11-22
XOM241122P00125000,2024-11-15 14:39:52+00:00,125.0,4.2,5.55,6.05,0.099999905,2.439022,50.0,26,0.3320379296875,True,REGULAR,USD,2024-11-22
