contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration_date
JNJ241129P00105000,2024-11-05 18:24:53+00:00,105.0,0.1,0.0,1.01,0.0,0.0,,4,4.333988957519531,False,REGULAR,USD,2024-11-29
JNJ241129P00125000,2024-11-06 16:49:57+00:00,125.0,0.05,0.0,0.52,0.0,0.0,,0,2.322269819335937,False,REGULAR,USD,2024-11-29
JNJ241129P00130000,2024-11-21 18:48:43+00:00,130.0,0.02,0.0,0.53,0.0,0.0,30.0,56,1.97265638671875,False,REGULAR,USD,2024-11-29
JNJ241129P00131000,2024-11-21 15:26:47+00:00,131.0,0.02,0.0,0.52,0.0,0.0,10.0,0,1.89453177734375,False,REGULAR,USD,2024-11-29
JNJ241129P00132000,2024-11-25 14:31:14+00:00,132.0,0.01,0.0,0.73,0.0,0.0,2.0,0,1.955078349609375,False,REGULAR,USD,2024-11-29
JNJ241129P00133000,2024-11-25 15:32:10+00:00,133.0,0.01,0.0,0.53,0.0,0.0,26.0,0,1.759766826171875,False,REGULAR,USD,2024-11-29
JNJ241129P00134000,2024-11-25 16:16:45+00:00,134.0,0.01,0.0,0.53,0.0,0.0,13.0,0,1.689454677734375,False,REGULAR,USD,2024-11-29
JNJ241129P00135000,2024-11-25 16:17:47+00:00,135.0,0.01,0.0,0.53,0.0,0.0,15.0,23,1.619142529296875,False,REGULAR,USD,2024-11-29
JNJ241129P00140000,2024-11-29 17:54:09+00:00,140.0,0.01,0.0,0.06,0.0,0.0,11.0,74,0.87500125,False,REGULAR,USD,2024-11-29
JNJ241129P00141000,2024-11-21 19:20:04+00:00,141.0,0.23,0.0,0.53,0.0,0.0,,4,1.197269638671875,False,REGULAR,USD,2024-11-29
JNJ241129P00142000,2024-11-20 14:33:19+00:00,142.0,0.1,0.0,0.53,0.0,0.0,2.0,40,1.126957490234375,False,REGULAR,USD,2024-11-29
JNJ241129P00143000,2024-11-27 15:22:13+00:00,143.0,0.01,0.0,0.53,0.0,0.0,1.0,0,1.056645341796875,False,REGULAR,USD,2024-11-29
JNJ241129P00144000,2024-11-20 20:25:15+00:00,144.0,0.14,0.0,0.53,0.0,0.0,3.0,0,0.98437515625,False,REGULAR,USD,2024-11-29
JNJ241129P00145000,2024-11-29 16:08:30+00:00,145.0,0.01,0.0,0.03,-0.02,-66.66667,2.0,0,0.5468795312500001,False,REGULAR,USD,2024-11-29
JNJ241129P00146000,2024-11-25 20:23:47+00:00,146.0,0.03,0.0,0.52,0.0,0.0,3.0,19,0.8378922460937499,False,REGULAR,USD,2024-11-29
JNJ241129P00147000,2024-11-25 17:58:58+00:00,147.0,0.04,0.0,0.52,0.0,0.0,4.0,26,0.76367423828125,False,REGULAR,USD,2024-11-29
JNJ241129P00148000,2024-11-27 18:54:12+00:00,148.0,0.02,0.0,0.01,0.0,0.0,8.0,0,0.37500625,False,REGULAR,USD,2024-11-29
JNJ241129P00149000,2024-11-29 16:43:08+00:00,149.0,0.01,0.0,0.01,0.0,0.0,7.0,133,0.3281317187499999,False,REGULAR,USD,2024-11-29
JNJ241129P00150000,2024-11-29 15:03:34+00:00,150.0,0.01,0.0,0.01,0.0,0.0,4.0,830,0.2812571874999999,False,REGULAR,USD,2024-11-29
JNJ241129P00152500,2024-11-29 17:43:04+00:00,152.5,0.01,0.0,0.01,-0.01,-50.0,123.0,556,0.1562584375,False,REGULAR,USD,2024-11-29
JNJ241129P00155000,2024-11-29 17:55:52+00:00,155.0,0.04,0.0,0.04,-0.16999999,-80.95238,781.0,0,0.01368173828125,False,REGULAR,USD,2024-11-29
JNJ241129P00157500,2024-11-27 20:34:01+00:00,157.5,1.97,1.89,3.3,0.0,0.0,96.0,65,0.5473678076171876,True,REGULAR,USD,2024-11-29
JNJ241129P00160000,2024-11-29 15:36:01+00:00,160.0,4.96,4.2,5.25,0.36000013,7.82609,14.0,380,0.5205126074218749,True,REGULAR,USD,2024-11-29
JNJ241129P00162500,2024-11-29 14:38:57+00:00,162.5,7.1,7.05,9.7,0.3499999,5.185184,6.0,0,1.023930661621094,True,REGULAR,USD,2024-11-29
JNJ241129P00165000,2024-11-27 19:57:42+00:00,165.0,8.65,7.55,12.0,0.0,0.0,134.0,0,1.6943374658203123,True,REGULAR,USD,2024-11-29
JNJ241129P00170000,2024-11-27 19:57:42+00:00,170.0,13.2,13.0,16.45,0.0,0.0,50.0,14,1.8642584912109377,True,REGULAR,USD,2024-11-29
JNJ241129P00175000,2024-10-24 18:51:17+00:00,175.0,11.91,20.75,21.8,0.0,0.0,1.0,1,2.127934367675781,True,REGULAR,USD,2024-11-29
